"AnimalID" "Samp" "HyPop" "Pop" "St" "Region" "BirthPack" "Reproducti" "IsReproduc" "QI" "SType" "Dt" "NumAmpedLo" "amelogenin" "SRY" "GeneticSex" "MatchedOK" "Str_p_Wolf" "pWolf" "GIS_X" "GIS_Y"
"729" "AU.0C8P" "Dinaric" "Dinaric" "Noninvasive - SLO" "Slovenia" NA NA FALSE 0.9 "Scat" "23.12.2007" 40 "2 2" NA "F" 0 0.998 0.998 457777 44318
"743" "AY.0F2J" "Neznano" "Dinaric" "Austria" "Austria" NA NA FALSE 0.97973 "Scat" "1.06.2013" 37 "1 2" "1 1" "M" 0 NA 0.9964 500597 193361
"549" "AP.07Y2" "Dinaric" "Dinaric" "Mortality-HR" "Bosnia" NA NA FALSE 1 "Tissue" "6.03.2004" 37 "1 2" "1 1" "M" 0 0.9631 0.9652 675208 -131311
"537" "AP.07X0" "Dinaric" "Dinaric" "Mortality-HR" "Bosnia" NA NA FALSE 0.959459 "Tissue" "6.02.2004" 37 "1 2" "1 1" "M" 0 0.9704 0.9772 675208 -131311
"547" "AP.07XY" "Dinaric" "Dinaric" "Mortality-HR" "Bosnia" NA NA FALSE 1 "Tissue" "6.03.2004" 37 "1 2" "1 1" "M" 0 0.9758 0.9812 675208 -131311
"509" "AP.07PX" "Dinaric" "Dinaric" "Mortality-HR" "Bosnia" NA NA FALSE 1 "Tissue" "6.02.2004" 37 "1 2" "1 1" "M" 0 0.9789 0.9944 675208 -131311
"580" "AP.0825" "Dinaric" "Dinaric" "Mortality-HR" "Bosnia" NA NA FALSE 1 "Tissue" "10.11.1997" 37 "1 2" "1 1" "M" 0 0.9941 0.9906 646261 -144670
"494" "AP.07MC" "Dinaric" "Dinaric" "Mortality" "Dalmatia (HR)" NA NA FALSE 0.939024 "Tissue" "19.11.2011" 41 "1 2" "1 1" "M" 0 0.9805 0.9452 591876 -169090
"495" "AP.07ME" "Dinaric" "Dinaric" "Mortality" "Dalmatia (HR)" NA NA FALSE 0.918699 "Tissue" "28.11.2011" 41 "1 2" "1 1" "M" 0 0.9834 0.9786 606933 -118594
"488" "AP.07M4" "Dinaric" "Dinaric" "Mortality" "Dalmatia (HR)" NA NA FALSE 0.910569 "Tissue" "13.11.2011" 41 "2 2" NA "F" 0 0.9875 0.9886 670696 -184999
