Pop	pWolf	pDog
1	0.9363	0.0637
1	0.9633	0.0367
1	0.984	0.016
1	0.9653	0.0347
1	0.9307	0.0693
1	0.9846	0.0154
1	0.986	0.014
1	0.9606	0.0394
1	0.9686	0.0314
1	0.971	0.029
1	0.949	0.051
1	0.9758	0.0242
1	0.9828	0.0172
1	0.982	0.018
1	0.9802	0.0198
1	0.983	0.017
1	0.9653	0.0347
1	0.9848	0.0152
1	0.9786	0.0214
1	0.97	0.03
1	0.9769	0.0231
1	0.9766	0.0234
1	0.9849	0.0151
1	0.9766	0.0234
1	0.985	0.015
1	0.9851	0.0149
1	0.9751	0.0249
1	0.9198	0.0802
1	0.988	0.012
1	0.9599	0.0401
1	0.9118	0.0882
1	0.987	0.013
1	0.9629	0.0371
1	0.9547	0.0453
1	0.9558	0.0442
1	0.9774	0.0226
1	0.9685	0.0315
1	0.9515	0.0485
1	0.9432	0.0568
1	0.9781	0.0219
1	0.9635	0.0365
1	0.9754	0.0246
1	0.9809	0.0191
1	0.9771	0.0229
1	0.9662	0.0338
1	0.9801	0.0199
1	0.9814	0.0186
1	0.9848	0.0152
1	0.9843	0.0157
1	0.9856	0.0144
1	0.9877	0.0123
1	0.9859	0.0141
1	0.981	0.019
1	0.9816	0.0184
1	0.9819	0.0181
1	0.987	0.013
1	0.986	0.014
1	0.9788	0.0212
1	0.9855	0.0145
1	0.986	0.014
1	0.9859	0.0141
1	0.979	0.021
1	0.988	0.012
1	0.988	0.012
1	0.9873	0.0127
1	0.9371	0.0629
1	0.985	0.015
1	0.9819	0.0181
1	0.987	0.013
1	0.987	0.013
1	0.987	0.013
1	0.9418	0.0582
1	0.9672	0.0328
1	0.9361	0.0639
1	0.9843	0.0157
1	0.9641	0.0359
1	0.9852	0.0148
1	0.9693	0.0307
1	0.9146	0.0854
1	0.9332	0.0668
1	0.9539	0.0461
1	0.9681	0.0319
1	0.9533	0.0467
1	0.9486	0.0514
1	0.954	0.046
1	0.976	0.024
1	0.9751	0.0249
1	0.9561	0.0439
1	0.9637	0.0363
1	0.9746	0.0254
1	0.973	0.027
1	0.935	0.065
1	0.9808	0.0192
1	0.982	0.018
1	0.9733	0.0267
1	0.9771	0.0229
1	0.9824	0.0176
1	0.9819	0.0181
1	0.9869	0.0131
1	0.9716	0.0284
2	0.0343	0.9657
2	0.0253	0.9747
2	0.015	0.985
2	0.0241	0.9759
2	0.0551	0.9449
2	0.0275	0.9725
2	0.0101	0.9899
2	0.0301	0.9699
2	0.012	0.988
2	0.0182	0.9818
2	0.0835	0.9165
2	0.2113	0.7887
2	0.0242	0.9758
2	0.0652	0.9348
2	0.0625	0.9375
2	0.0168	0.9832
2	0.0191	0.9809
2	0.0193	0.9807
2	0.0186	0.9814
2	0.0134	0.9866
2	0.0197	0.9803
2	0.0172	0.9828
2	0.0201	0.9799
2	0.0131	0.9869
2	0.0212	0.9788
2	0.013	0.987
2	0.017	0.983
2	0.031	0.969
2	0.0246	0.9754
2	0.0248	0.9752
2	0.0212	0.9788
2	0.0374	0.9626
2	0.0317	0.9683
2	0.0273	0.9727
2	0.054	0.946
2	0.0245	0.9755
2	0.0419	0.9581
2	0.0583	0.9417
2	0.0335	0.9665
2	0.0188	0.9812
2	0.0284	0.9716
2	0.0451	0.9549
2	0.0553	0.9447
2	0.0742	0.9258
2	0.0476	0.9524
2	0.045	0.955
2	0.0426	0.9574
2	0.0504	0.9496
2	0.1192	0.8808
2	0.1649	0.8351
2	0.2244	0.7756
2	0.0198	0.9802
2	0.1996	0.8004
3	0.4381	0.5619
3	0.529	0.471
3	0.4374	0.5626
3	0.5325	0.4675
3	0.5082	0.4918
3	0.5503	0.4497
3	0.4657	0.5343
3	0.4781	0.5219
3	0.4531	0.5469
3	0.4623	0.5377
3	0.4389	0.5611
3	0.6067	0.3933
3	0.5839	0.4161
3	0.5007	0.4993
3	0.516	0.484
3	0.4746	0.5254
3	0.4559	0.5441
3	0.4395	0.5605
3	0.498	0.502
3	0.4607	0.5393
3	0.5142	0.4858
3	0.5722	0.4278
3	0.5671	0.4329
3	0.5559	0.4441
3	0.5053	0.4947
3	0.4746	0.5254
3	0.4167	0.5833
3	0.5297	0.4703
3	0.5162	0.4838
3	0.4779	0.5221
3	0.5282	0.4718
3	0.4578	0.5422
3	0.5763	0.4237
3	0.4638	0.5362
3	0.4515	0.5485
3	0.4959	0.5041
3	0.4204	0.5796
3	0.6084	0.3916
3	0.4152	0.5848
3	0.3701	0.6299
3	0.405	0.595
3	0.473	0.527
3	0.5023	0.4977
3	0.5984	0.4016
3	0.531	0.469
3	0.4373	0.5627
3	0.4463	0.5537
3	0.4563	0.5437
3	0.429	0.571
3	0.5714	0.4286
4	0.5203	0.4797
4	0.3547	0.6453
4	0.6328	0.3672
4	0.5574	0.4426
4	0.4556	0.5444
4	0.3985	0.6015
4	0.4103	0.5897
4	0.3792	0.6208
4	0.3452	0.6548
4	0.6641	0.3359
4	0.3997	0.6003
4	0.3874	0.6126
4	0.4996	0.5004
4	0.5657	0.4343
4	0.4546	0.5454
4	0.6051	0.3949
4	0.4252	0.5748
4	0.4317	0.5683
4	0.6517	0.3483
4	0.3987	0.6013
4	0.5081	0.4919
4	0.58	0.42
4	0.3729	0.6271
4	0.3956	0.6044
4	0.6189	0.3811
4	0.4712	0.5288
4	0.5275	0.4725
4	0.5726	0.4274
4	0.5239	0.4761
4	0.2802	0.7198
4	0.598	0.402
4	0.425	0.575
4	0.4335	0.5665
4	0.4571	0.5429
4	0.5674	0.4326
4	0.3591	0.6409
4	0.4772	0.5228
4	0.4883	0.5117
4	0.3688	0.6312
4	0.5418	0.4582
4	0.4304	0.5696
4	0.2896	0.7104
4	0.4179	0.5821
4	0.4752	0.5248
4	0.5406	0.4594
4	0.608	0.392
4	0.5122	0.4878
4	0.432	0.568
4	0.4285	0.5715
4	0.355	0.645
5	0.7157	0.2843
5	0.6688	0.3312
5	0.7348	0.2652
5	0.6985	0.3015
5	0.8413	0.1587
5	0.7108	0.2892
5	0.88	0.12
5	0.7263	0.2737
5	0.4817	0.5183
5	0.7647	0.2353
5	0.7784	0.2216
5	0.7233	0.2767
5	0.7866	0.2134
5	0.8146	0.1854
5	0.8033	0.1967
5	0.7159	0.2841
5	0.722	0.278
5	0.6722	0.3278
5	0.7099	0.2901
5	0.8104	0.1896
5	0.7129	0.2871
5	0.7832	0.2168
5	0.7005	0.2995
5	0.7457	0.2543
5	0.7281	0.2719
5	0.7451	0.2549
5	0.9105	0.0895
5	0.7554	0.2446
5	0.6968	0.3032
5	0.7521	0.2479
5	0.6916	0.3084
5	0.7162	0.2838
5	0.7334	0.2666
5	0.8207	0.1793
5	0.6185	0.3815
5	0.6897	0.3103
5	0.8463	0.1537
5	0.8133	0.1867
5	0.7313	0.2687
5	0.7747	0.2253
5	0.733	0.267
5	0.4346	0.5654
5	0.7767	0.2233
5	0.8545	0.1455
5	0.8008	0.1992
5	0.76	0.24
5	0.8192	0.1808
5	0.6953	0.3047
5	0.7072	0.2928
5	0.7821	0.2179
6	0.2736	0.7264
6	0.1414	0.8586
6	0.2135	0.7865
6	0.195	0.805
6	0.2868	0.7132
6	0.2439	0.7561
6	0.1196	0.8804
6	0.2503	0.7497
6	0.2358	0.7642
6	0.2225	0.7775
6	0.3357	0.6643
6	0.2754	0.7246
6	0.2396	0.7604
6	0.223	0.777
6	0.2118	0.7882
6	0.0707	0.9293
6	0.1905	0.8095
6	0.1604	0.8396
6	0.1848	0.8152
6	0.3493	0.6507
6	0.1314	0.8686
6	0.204	0.796
6	0.3677	0.6323
6	0.1726	0.8274
6	0.2756	0.7244
6	0.1476	0.8524
6	0.3741	0.6259
6	0.1217	0.8783
6	0.121	0.879
