Pop	pDog	pWolf
8	0.002	0.998
1	0.974	0.026
1	0.0036	0.9964
2	0.0348	0.9652
2	0.0228	0.9772
2	0.0188	0.9812
2	0.0056	0.9944
2	0.0094	0.9906
3	0.0548	0.9452
3	0.0214	0.9786
3	0.0114	0.9886
3	0.003	0.997
3	0.0226	0.9774
3	0.1328	0.8672
3	0.0356	0.9644
3	0.002	0.998
3	0.004	0.996
3	0.006	0.994
3	0.0062	0.9938
3	0.0388	0.9612
3	0.0366	0.9634
3	0.002	0.998
3	0.0486	0.9514
3	0.021	0.979
3	0.056	0.944
3	0.029	0.971
3	0.01	0.99
3	0.049	0.951
3	0.0474	0.9526
3	0.0882	0.9118
3	0.048	0.952
3	0.0466	0.9534
3	0.0278	0.9722
3	0.0178	0.9822
3	0.102	0.898
3	0.0248	0.9752
3	0.012	0.988
3	0.131	0.869
3	0.0094	0.9906
3	0.0104	0.9896
3	0.002	0.998
3	0.006	0.994
3	0.0142	0.9858
3	0.005	0.995
3	0.0088	0.9912
3	0.0038	0.9962
3	0.008	0.992
3	0.0046	0.9954
3	0.0052	0.9948
3	0.0036	0.9964
3	0.0028	0.9972
3	0.003	0.997
3	0.0024	0.9976
3	0.0022	0.9978
3	0.002	0.998
3	0.0048	0.9952
3	0.002	0.998
3	0.003	0.997
3	0.002	0.998
3	0.002	0.998
3	0.002	0.998
3	0.002	0.998
3	0.002	0.998
3	0.002	0.998
3	0.002	0.998
3	0.003	0.997
3	0.0054	0.9946
3	0.0018	0.9982
3	0.0106	0.9894
3	0.0364	0.9636
3	0.0972	0.9028
3	0.0216	0.9784
3	0.0088	0.9912
3	0.0068	0.9932
3	0.027	0.973
3	0.008	0.992
3	0.01	0.99
3	0.118	0.882
3	0.177	0.823
3	0.2102	0.7898
3	0.2482	0.7518
3	0.4046	0.5954
3	0.3426	0.6574
3	0.3994	0.6006
3	0.307	0.693
3	0.313	0.687
3	0.3276	0.6724
3	0.3202	0.6798
3	0.2626	0.7374
3	0.2572	0.7428
3	0.207	0.793
3	0.167	0.833
3	0.2058	0.7942
3	0.2484	0.7516
3	0.2202	0.7798
3	0.2072	0.7928
3	0.1912	0.8088
3	0.1254	0.8746
3	0.1014	0.8986
3	0.214	0.786
3	0.087	0.913
3	0.0986	0.9014
3	0.2078	0.7922
3	0.0176	0.9824
3	0.2328	0.7672
3	0.1884	0.8116
3	0.0944	0.9056
3	0.995	0.005
3	0.996	0.004
4	0.003	0.997
4	0.0014	0.9986
4	0.0026	0.9974
4	0.0018	0.9982
4	0.0016	0.9984
4	0.0018	0.9982
4	0.011	0.989
4	0.027	0.973
4	0.0072	0.9928
4	0.002	0.998
4	0.013	0.987
4	0.0196	0.9804
4	0.006	0.994
4	0.0176	0.9824
4	0.0084	0.9916
4	0.0074	0.9926
4	0.0088	0.9912
4	0.0096	0.9904
4	0.005	0.995
4	0.0034	0.9966
4	0.004	0.996
4	0.005	0.995
